,idSite,accessLevel,owner,is_admin,name,identifier,idUser,pvMax,timezone,phonenumber,notes,geofence,geofenceEnabled,realtimeUpdates,hasMains,hasGenerator,noDataAlarmTimeout,alarmMonitoring,invalidVRMAuthTokenUsedInLogRequest,syscreated,grafanaEnabled,shared,device_icon,datesubmited
501,93814,1,True,True,UN0115_NC_ KARU NASSARAWA,1cba8c9f81c2,19965,0,UTC,,,,False,True,1,1,,1,0,1612033747,0,False,battery,
502,92029,1,True,True,UN0117_SE_Union Nnewi Anambra State,c4f31281ea74,19965,0,UTC,09045321528,,,False,True,0,0,,1,0,1610818252,0,False,solar,
503,94297,1,True,True,"UN0118_SE_Union Bank Zik Avenue, Enugu State",d0ff5039b9a3,19965,0,UTC,,,,False,True,0,0,,1,0,1612381203,0,False,battery,
504,100346,1,True,True,"UN0119_SW_UNION BANK SABO, YABA,LAGOS",0479b7ec3e7c,19965,0,UTC,,,,False,True,1,1,,1,0,1616245055,0,False,grid,
505,92024,1,True,True,UN0120_SW_Union bank Abeokuta,7c669d45d719,19965,0,UTC,09010273546,,,False,True,1,1,,1,0,1610815743,0,False,solar,
506,96453,1,True,True,"UN0121_NE_Union Damaturu, Yobe",d0ff50398dde,19965,0,UTC,08036448315,,,False,True,0,0,,1,0,1613915623,0,False,battery,
507,89906,0,True,False,"UN0122_SW_UNION BANK ILARO, OGUN STATE",7c669d48b404,19965,0,UTC,,,,False,True,1,1,,1,0,1608466807,0,False,solar,
508,99405,1,True,True,UN0123_SS_Union Bank Sapele,d0ff5055e02f,19965,0,UTC,,,,False,True,1,1,,1,0,1615809978,0,False,battery,
509,92069,1,True,True,UN0124_SS_Union Bank Calabar Main,64cfd99086eb,19965,0,Africa/Lagos,,,,True,True,0,0,,1,0,1610898380,0,False,grid,
510,96388,1,True,True,UN0125_NC_Union Bank Road Makurdi,c4f31281bc12,19965,0,UTC,07064352366,,,False,True,1,1,,1,0,1613826296,0,False,battery,
511,99945,1,True,True,UN0126_SE_Union bank Asaba.,1cba8c9f761c,19965,0,UTC,,,,False,True,0,0,,1,0,1616052708,0,False,solar,
512,89787,0,True,False,"UN0127_SW_Union Bank Challenge, Ibadan, Oyo",d0ff50efa290,19965,0,UTC,,,,False,True,1,1,,1,0,1608310030,0,False,generator,
513,91323,1,True,True,"UN0129_NW_Union Bank Samaru Zaria, Kaduna",507224b29245,19965,0,UTC,,,,False,True,1,1,,1,0,1610201688,0,False,battery,
